Learning Rate,0.1,0.01,0.001,0.0001
Number of hidden layers,2,3,4
Number of units per hidden layer,30,50,70,90,110
Number of iterations,500,1000,5000


Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.1,2.0,30.0,500.0,2.512718317782136,5.016709447985955,5.634284295615574,3.0554050896550202,1.3359114208997447,1.6896198926706834
0.1,2.0,30.0,1000.0,0.6119801095079157,1.526153301694504,2.2793315564428576,1.8819469866384682,0.573378156575535,0.467233009131161
0.1,2.0,30.0,5000.0,52.90018425979754,48.010413602667754,46.9215501139714,22.841366389641387,20.301498717978795,2.869004234733502
0.1,2.0,50.0,500.0,6.162854069949341,6.322747782368496,6.123765309815261,2.329420039253407,2.47037282012336,1.8182056459081282
0.1,2.0,50.0,1000.0,2.153240563432157,2.6519759894221364,3.02597716112589,1.001619406615791,1.0538507136384543,1.2555031209248262
0.1,2.0,50.0,5000.0,144.31818569745022,30.08118577283158,41.30756885021808,160.72762541691102,99.46668553849368,130.41537166317946
0.1,2.0,70.0,500.0,1.5200072408536938,4.325312689707167,6.003715862177788,1.4868723274765054,2.7011353279006904,2.864961482462083
0.1,2.0,70.0,1000.0,1.2204916528586378,2.0083486799403207,2.566146720385016,0.7330728663478303,0.7911578186850834,1.4467135721771287
0.1,2.0,70.0,5000.0,0.43702537832491783,0.57730561962299,0.5971278177692478,0.36043100721357313,0.4763906725071142,0.32780971215922844
0.1,2.0,90.0,500.0,1.6222261731580776,3.8130084987953476,5.092577108642446,2.1004345048425965,1.1349936800350295,1.3780884304275054
0.1,2.0,90.0,1000.0,0.4339714504800987,0.7173733250151165,1.3546967537445909,1.1783010731231751,0.989530668872606,0.5221318022583209
0.1,2.0,90.0,5000.0,2.314545157120897,2.032764938047603,2.053864994057022,2.7032946666234516,1.014372752519393,1.8651474876385354
0.1,2.0,110.0,500.0,2.883922786001496,3.9312833221268306,5.452704012239276,4.178764045105546,1.5366323141316678,1.5981793705966905
0.1,2.0,110.0,1000.0,1.0062738380519594,1.6758486257153093,2.6979020343337776,2.6280606083577585,1.13624021896184,0.6702587134840337
0.1,2.0,110.0,5000.0,0.3745361642520355,0.5038707761379012,0.41166047618816937,0.5182473739997895,0.24622046985113033,0.23689683024274025
0.1,3.0,30.0,500.0,0.8753701272897424,1.913975727255994,2.6763340828518065,1.0755109288628895,0.9012876718870242,1.2434634255825388
0.1,3.0,30.0,1000.0,1.0543616686477217,1.5427275345156164,1.3821876543296228,2.627948340490338,1.9796937901152734,1.29978392496913
0.1,3.0,30.0,5000.0,510.2806706951611,921.446604995611,299.62699878739227,767.2102890908998,1594.4618598163306,1263.5680860414373
0.1,3.0,50.0,500.0,11.109082335278652,12.257390226072431,13.59696938122705,8.036081749603099,2.7105982101063084,3.6175268796761597
0.1,3.0,50.0,1000.0,5.318761330556689,3.582262857307461,2.318522625338527,7.82299964447933,2.259054610813637,2.6588775381008753
0.1,3.0,50.0,5000.0,0.6035683275744427,0.8533198009027526,1.5127902668937518,2.0952124613913425,2.131896147364589,1.7645194400857365
0.1,3.0,70.0,500.0,15.480517093646068,13.218814681544009,23.625043093024335,18.22719450051265,4.159099338921384,5.039953473858666
0.1,3.0,70.0,1000.0,8.088978355955312,6.744734108406643,5.936342812941113,3.4059455914237473,1.4981716404119971,0.8542024724666941
0.1,3.0,70.0,5000.0,3.2795771297156313,4.095535811269183,4.407044273044263,0.9960137756887432,2.2495179866809427,1.2482649371501362
0.1,3.0,90.0,500.0,6.483670108948004,27.66085787548644,39.74250285417161,22.865670201695607,23.219258269590842,11.316647539046375
0.1,3.0,90.0,1000.0,3.537288043798677,5.973364149113645,10.956443345760428,5.861366231723009,4.3004209800582895,5.232854240303263
0.1,3.0,90.0,5000.0,1.2594453790242766,0.8318331080173373,1.3954399474446064,3.562454439960668,2.4512226287454952,2.316025455041604
0.1,3.0,110.0,500.0,13.299837311451096,17.635336841055732,19.15002546990692,3.860221475221349,6.1433314449026675,4.594554094148274
0.1,3.0,110.0,1000.0,9.835991157817856,10.82655292073915,10.60157540378807,2.6220004076376613,3.5200496541809545,1.8676579609438078
0.1,3.0,110.0,5000.0,875.8910111278302,1002.0021503110459,3187.5109983688967,15265.274938383614,10959.543556088925,16407.759193088354
0.1,4.0,30.0,500.0,12.92322619151855,15.171266590817378,16.247538766570447,4.961768706409908,7.266706370022427,3.7587902232834804
0.1,4.0,30.0,1000.0,8.38978563548594,7.8695108749653535,8.379470740479658,17.174812435048477,16.580013343215974,8.15277924186448
0.1,4.0,30.0,5000.0,226.913186611322,532.4329609539624,809.3988872365659,5159.8253774588375,1734.0939987323673,5955.914744129247
0.1,4.0,50.0,500.0,39.06343195336982,23.440748271311172,31.30859364950321,17.002629341009207,22.967750412771956,43.49904133366614
0.1,4.0,50.0,1000.0,7.6995425843481495,12.913696458480409,11.54153361154914,12.016130928566142,14.442574002753583,19.716695244458972
0.1,4.0,50.0,5000.0,1.8272545253259653,1.932742296426233,2.2679151208920127,1.7145684303286237,6.9435241637754945,4.020198875505781
0.1,4.0,70.0,500.0,25.21256257902238,27.167287975275794,31.78705485549044,33.990117388990946,12.369507500779575,31.754175812674536
0.1,4.0,70.0,1000.0,12.36323177900708,18.113348534625864,19.948527419169494,15.768929796422434,6.271820046153436,11.206730587985597
0.1,4.0,70.0,5000.0,39285.139670144425,30126.387982400065,24916.48580460036,206412.26848796883,194632.48423430586,164223.31009113378
0.1,4.0,90.0,500.0,33.399166545263036,74.13957337904294,74.57966077857303,4.924910244659821,24.712268231594965,115.71951453815387
0.1,4.0,90.0,1000.0,17.990762744774393,32.74720025335297,38.80557392190258,5.486500972109098,19.046367565845244,21.935384699437456
0.1,4.0,90.0,5000.0,10.635040768091454,13.443104760407323,14.400118302143417,4.790259597258893,3.7227682527488426,7.006238997035137
0.1,4.0,110.0,500.0,135.35602386344755,82.42846651220704,77.45832500484681,1975.1367363202507,3368.0104473215706,727.193061970792
0.1,4.0,110.0,1000.0,64.10988411141673,102.37634120733338,71.49677447987249,90.01370156662652,189.75127024905413,147.0780722896104
0.1,4.0,110.0,5000.0,418321.79308726615,15298.791678136791,170756.911809,57678.758997551486,275301.3915814221,141065.90743069915
0.01,2.0,30.0,500.0,6.9528987449463715,6.062776360021155,5.68555641884533,4.012604910983094,7.998665412014941,3.052684314511888
0.01,2.0,30.0,1000.0,1.4672047361530898,2.1639766060012384,2.616379036808732,1.973307642446961,4.115761605745679,2.4391574864852994
0.01,2.0,30.0,5000.0,0.825953699685962,1.275229425568116,1.3311885442018656,1.2708212903271587,2.7145397973963368,0.5337572213924953
0.01,2.0,50.0,500.0,4.514581859613243,5.486105151598986,4.627515474897992,1.1621351774988522,7.351164332441002,0.8853528220412435
0.01,2.0,50.0,1000.0,1.0213589499138305,1.2984768387186987,1.912719259880523,1.213574026186993,4.07274373390957,1.1208597744015032
0.01,2.0,50.0,5000.0,0.41009880061288084,0.4508949012971909,0.4650830730600421,0.5476772891485138,1.0046597626066867,0.49842485029572947
0.01,2.0,70.0,500.0,4.107680573171511,4.118854709461531,4.2459706950283085,2.7635710779856897,6.456086755170008,1.3481381594882955
