Learning Rate,0.1,0.01,0.001,
Number of units per hidden layer,2,3,4,
Number of hidden layers,50,70,90,110,
Number of iterations,500,1000,1500,
Regularisation,0,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,True,
,
,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6,
0.1,2.0,50.0,500.0,3.9549458026885986,6.2488908767700195,7.4554057121276855,2.491849184036255,2.135012626647949,3.2565813064575195,
0.1,2.0,50.0,1000.0,1.9979248046875,2.579923152923584,3.563178777694702,1.752442479133606,1.2829561233520508,0.714432954788208,
0.1,2.0,50.0,1500.0,1.347576379776001,1.6017850637435913,2.1869211196899414,0.6074743866920471,1.1504696607589722,0.9450546503067017,
0.1,2.0,70.0,500.0,4.781363487243652,6.924284934997559,10.467016220092773,6.398106575012207,6.279461860656738,3.145188570022583,
0.1,2.0,70.0,1000.0,1.9132401943206787,1.6173505783081055,1.877112865447998,1.350632905960083,1.9235481023788452,0.7105128169059753,
0.1,2.0,70.0,1500.0,1.211606740951538,1.0742759704589844,1.0852543115615845,0.6370363235473633,0.8831725716590881,1.0487470626831055,
0.1,2.0,90.0,500.0,2.3897438049316406,5.74053955078125,7.334081649780273,2.218428373336792,5.764383316040039,2.1322178840637207,
0.1,2.0,90.0,1000.0,1.7736008167266846,3.173557996749878,3.29125714302063,1.9969804286956787,1.6069941520690918,1.4750275611877441,
0.1,2.0,90.0,1500.0,1.2621644735336304,2.376380443572998,2.439730167388916,1.2991880178451538,1.6286803483963013,1.383203387260437,
0.1,2.0,110.0,500.0,3.3960137367248535,3.956531047821045,9.296664237976074,2.071686267852783,2.9185307025909424,2.344221353530884,
0.1,2.0,110.0,1000.0,2.7831151485443115,1.9566658735275269,4.630549430847168,2.1283204555511475,2.3635289669036865,1.584251046180725,
0.1,2.0,110.0,1500.0,0.8340935111045837,0.8229613304138184,1.0159319639205933,1.0259267091751099,0.8555995225906372,0.7682815790176392,
0.1,3.0,50.0,500.0,4.983850955963135,6.999762535095215,8.545201301574707,4.0705742835998535,6.65753698348999,3.409514904022217,
0.1,3.0,50.0,1000.0,2.734949827194214,3.6553237438201904,4.072847366333008,1.5074396133422852,2.1285550594329834,1.5630298852920532,
0.1,3.0,50.0,1500.0,1.243667721748352,1.6029006242752075,1.9196020364761353,0.9473690986633301,1.9454660415649414,0.9601947665214539,
0.1,3.0,70.0,500.0,5.891393661499023,6.426158428192139,14.716245651245117,7.021259307861328,27.499601364135742,8.716728210449219,
0.1,3.0,70.0,1000.0,4.806347370147705,4.640651702880859,6.703859329223633,5.036764144897461,18.52398109436035,6.838482856750488,
0.1,3.0,70.0,1500.0,1.9560765027999878,2.8434653282165527,3.5500545501708984,4.160836219787598,5.637218952178955,7.381436824798584,
0.1,3.0,90.0,500.0,24.031003952026367,27.519611358642578,27.759765625,13.926847457885742,8.839546203613281,4.84063196182251,
0.1,3.0,90.0,1000.0,14.066147804260254,13.059149742126465,14.615707397460938,2.1271159648895264,5.982065200805664,1.980167031288147,
0.1,3.0,90.0,1500.0,10.004505157470703,10.000865936279297,10.944708824157715,5.256597995758057,13.7957124710083,5.689772605895996,
0.1,3.0,110.0,500.0,15.512331008911133,19.134384155273438,20.032669067382812,30.487220764160156,39.64231491088867,11.551405906677246,
0.1,3.0,110.0,1000.0,11.246381759643555,15.112768173217773,16.48857879638672,12.208320617675781,8.083414077758789,14.740222930908203,
0.1,3.0,110.0,1500.0,7.623049736022949,10.185553550720215,11.204337120056152,8.72745132446289,6.277541160583496,5.064585208892822,
0.1,4.0,50.0,500.0,7.511031627655029,9.455772399902344,11.131157875061035,12.596403121948242,13.941648483276367,18.23434829711914,
0.1,4.0,50.0,1000.0,3.489891767501831,4.164486885070801,4.270859241485596,6.551589012145996,6.762257099151611,9.660940170288086,
0.1,4.0,50.0,1500.0,57367.6328125,14917.2822265625,7343.5888671875,55839.1171875,409581.8125,112188.9140625,
0.1,4.0,70.0,500.0,50.71118927001953,33.22721862792969,54.19253158569336,94.91219329833984,92.72455596923828,63.57529067993164,
0.1,4.0,70.0,1000.0,14.788037300109863,19.585960388183594,23.736255645751953,23.84077262878418,14.890167236328125,10.010807991027832,
0.1,4.0,70.0,1500.0,15.55046272277832,18.75825309753418,19.864187240600586,13.641992568969727,12.848451614379883,9.980626106262207,
0.1,4.0,90.0,500.0,253.8015899658203,252.26173400878906,137.19996643066406,317.4287414550781,370.7181701660156,199.6121368408203,
0.1,4.0,90.0,1000.0,106.89351654052734,75.5796890258789,32.08023452758789,195.17105102539062,138.29713439941406,64.90851593017578,
0.1,4.0,90.0,1500.0,82.09539031982422,55.67778778076172,22.38350486755371,122.34675598144531,97.58568572998047,66.56954956054688,
0.1,4.0,110.0,500.0,62.161712646484375,54.47389602661133,66.77751922607422,156.2524871826172,180.39329528808594,77.20158386230469,
0.1,4.0,110.0,1000.0,46.853004455566406,6.327859878540039,16.02328872680664,79.57278442382812,185.3473358154297,53.81053161621094,
0.1,4.0,110.0,1500.0,19.07826042175293,5.639575958251953,7.385942459106445,49.007694244384766,107.49685668945312,29.466941833496094,
0.01,2.0,50.0,500.0,4.997920989990234,5.989962100982666,5.865593910217285,1.3382841348648071,1.638301134109497,3.884080410003662,
0.01,2.0,50.0,1000.0,1.326149582862854,1.6685625314712524,2.2257020473480225,1.1207720041275024,2.1197285652160645,1.5237464904785156,
0.01,2.0,50.0,1500.0,0.7438512444496155,0.7117834687232971,1.0663094520568848,0.8089607357978821,2.128657102584839,1.0561829805374146,
0.01,2.0,70.0,500.0,3.5006210803985596,4.3953752517700195,5.170295715332031,0.6683048605918884,2.810181140899658,3.019129514694214,
0.01,2.0,70.0,1000.0,1.0923104286193848,1.263009786605835,1.4586889743804932,0.49027231335639954,1.0273109674453735,1.2804031372070312,
0.01,2.0,70.0,1500.0,0.4844791293144226,0.5237953066825867,0.7658075094223022,0.5992503762245178,0.7454869151115417,0.4085715413093567,
0.01,2.0,90.0,500.0,3.8354389667510986,5.337769508361816,5.452877998352051,0.5927066802978516,1.178306221961975,1.8146028518676758,
0.01,2.0,90.0,1000.0,1.065592885017395,1.4537622928619385,1.8397610187530518,0.3798612952232361,0.5590037703514099,0.47963276505470276,
0.01,2.0,90.0,1500.0,0.33287444710731506,0.5331934690475464,0.7013604044914246,0.618065595626831,1.9843913316726685,0.8041282296180725,
0.01,2.0,110.0,500.0,3.5314488410949707,4.432775020599365,5.490670204162598,0.5676196217536926,0.794447124004364,2.1947500705718994,
0.01,2.0,110.0,1000.0,1.3643369674682617,1.5534683465957642,2.145388126373291,1.9488645792007446,12.022167205810547,1.5259497165679932,
0.01,2.0,110.0,1500.0,0.593357264995575,0.5368856191635132,0.8550394177436829,1.2729555368423462,1.86403226852417,0.7644808292388916,
0.01,3.0,50.0,500.0,2.955709457397461,3.9082939624786377,4.178463459014893,2.998945474624634,6.143435478210449,3.0245954990386963,
0.01,3.0,50.0,1000.0,0.9260017275810242,0.9839819073677063,1.204322099685669,0.5697841048240662,1.9293131828308105,1.4572579860687256,
0.01,3.0,50.0,1500.0,0.5783954858779907,0.7281074523925781,0.790584921836853,1.073661208152771,2.2294890880584717,1.0875835418701172,
0.01,3.0,70.0,500.0,3.7180185317993164,3.833618402481079,3.43942928314209,1.8990105390548706,2.3503668308258057,3.5535202026367188,
0.01,3.0,70.0,1000.0,2.9186856746673584,2.7294366359710693,3.141122341156006,22.502643585205078,49.194129943847656,8.678794860839844,
0.01,3.0,70.0,1500.0,0.30044877529144287,0.3541637063026428,0.7808801531791687,0.5994442105293274,1.1913254261016846,1.4545247554779053,
0.01,3.0,90.0,500.0,2.645922899246216,2.313724994659424,2.9479472637176514,0.5886898040771484,1.574278473854065,1.801805019378662,
0.01,3.0,90.0,1000.0,1.0581625699996948,0.8329045176506042,1.3357702493667603,0.9234455227851868,1.8191454410552979,0.6158463954925537,
0.01,3.0,90.0,1500.0,0.609623908996582,0.43903017044067383,0.6603889465332031,0.6025155186653137,1.2653322219848633,0.8701743483543396,
0.01,3.0,110.0,500.0,2.350111722946167,2.6235384941101074,3.380946159362793,0.47627905011177063,1.1798126697540283,2.6592421531677246,
0.01,3.0,110.0,1000.0,1.9030616283416748,1.793175220489502,2.1080472469329834,7.0854291915893555,15.314352035522461,4.041786193847656,
0.01,3.0,110.0,1500.0,0.4383891820907593,0.35774075984954834,0.5043805837631226,0.5259133577346802,0.7007996439933777,0.41431155800819397,
0.01,4.0,50.0,500.0,2.812509775161743,2.6463465690612793,2.5975518226623535,1.5177676677703857,3.730095624923706,2.3643858432769775,
0.01,4.0,50.0,1000.0,1.0663200616836548,1.0999350547790527,1.2000656127929688,1.8893040418624878,4.287355422973633,1.142714262008667,
0.01,4.0,50.0,1500.0,0.7542992234230042,0.6558049321174622,0.9283658266067505,1.2633907794952393,2.6205978393554688,1.2968279123306274,
0.01,4.0,70.0,500.0,1.3224186897277832,1.6376352310180664,1.2865923643112183,0.5115487575531006,0.8477267026901245,1.3551692962646484,
0.01,4.0,70.0,1000.0,3.067206382751465,3.077788829803467,3.127180814743042,6.497039794921875,14.009453773498535,5.228299617767334,
0.01,4.0,70.0,1500.0,0.2868775725364685,0.26781418919563293,0.29890915751457214,0.6024393439292908,1.276213526725769,0.42369040846824646,
0.01,4.0,90.0,500.0,1.7788935899734497,1.4106518030166626,1.8816378116607666,2.9487314224243164,4.978661060333252,1.5548150539398193,
0.01,4.0,90.0,1000.0,2.175219774246216,2.143221616744995,2.231151819229126,5.67961311340332,11.3421630859375,3.3106017112731934,
0.01,4.0,90.0,1500.0,1.0042005777359009,1.1103475093841553,1.1157639026641846,2.543050765991211,5.890484809875488,1.2655242681503296,
0.01,4.0,110.0,500.0,1.743944764137268,1.529934048652649,1.1110130548477173,2.600969076156616,2.427645683288574,1.7116293907165527,
0.01,4.0,110.0,1000.0,0.8025172352790833,0.6815968751907349,0.6273132562637329,0.7034786939620972,1.3135114908218384,0.9500857591629028,
0.01,4.0,110.0,1500.0,1.2201225757598877,1.1509877443313599,1.1980770826339722,2.716672658920288,5.290438652038574,1.445200800895691,
0.001,2.0,50.0,500.0,15.400169372558594,20.0240535736084,27.090803146362305,5.479554653167725,6.178644180297852,8.449358940124512,
0.001,2.0,50.0,1000.0,14.007210731506348,15.346807479858398,15.540854454040527,1.4976872205734253,1.8355402946472168,3.2131552696228027,
0.001,2.0,50.0,1500.0,5.940423488616943,9.354667663574219,10.532578468322754,1.4730559587478638,2.3481786251068115,1.9361791610717773,
0.001,2.0,70.0,500.0,15.277449607849121,19.275766372680664,25.842008590698242,5.144941329956055,7.231883525848389,6.4057207107543945,
0.001,2.0,70.0,1000.0,9.467573165893555,11.166400909423828,11.342392921447754,1.4485982656478882,2.3705992698669434,3.8266069889068604,
0.001,2.0,70.0,1500.0,3.2857425212860107,5.186975479125977,5.954313278198242,0.883239209651947,1.0707976818084717,1.9406304359436035,
0.001,2.0,90.0,500.0,14.50333023071289,15.559855461120605,20.28626251220703,3.3221919536590576,4.079555034637451,1.8286503553390503,
0.001,2.0,90.0,1000.0,5.878652095794678,8.729568481445312,10.079743385314941,1.4707703590393066,1.1352354288101196,2.819221019744873,
0.001,2.0,90.0,1500.0,2.491445779800415,3.6036863327026367,4.98533296585083,0.4530848562717438,0.6250821352005005,1.4360610246658325,
