Learning Rate,0.1,0.01,0.001,
Number of units per hidden layer,2,3,4,
Number of hidden layers,50,70,90,110,
Number of iterations,500,1000,1500,
Regularisation,0,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,True,
,
,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6,
0.1,2.0,50.0,500.0,1.7730967998504639,2.874619960784912,4.013798236846924,2.1991159915924072,1.8531078100204468,1.4518588781356812,
0.1,2.0,50.0,1000.0,0.5656537413597107,1.08878755569458,1.4161086082458496,1.4369176626205444,1.4516080617904663,1.0407791137695312,
0.1,2.0,50.0,1500.0,0.25538504123687744,0.511333703994751,0.680475115776062,0.850165069103241,0.600228488445282,0.7777387499809265,
0.1,2.0,70.0,500.0,2.7524945735931396,4.148393630981445,5.152005195617676,1.7261289358139038,2.469031810760498,1.303131103515625,
0.1,2.0,70.0,1000.0,1.1478157043457031,1.620638132095337,1.7838127613067627,1.078086495399475,0.7986900210380554,0.6872788667678833,
0.1,2.0,70.0,1500.0,0.7292678952217102,1.0426502227783203,1.266198754310608,0.577698826789856,0.978611946105957,0.7964696884155273,
0.1,2.0,90.0,500.0,3.396841049194336,4.9863691329956055,5.957815647125244,2.939692974090576,4.374705791473389,2.134612560272217,
0.1,2.0,90.0,1000.0,1.5061190128326416,1.8848670721054077,1.9870705604553223,1.0636701583862305,1.593935489654541,0.6994951367378235,
0.1,2.0,90.0,1500.0,0.9031032919883728,1.0905524492263794,1.1480728387832642,0.6033517718315125,0.6383840441703796,0.4092392027378082,
0.1,2.0,110.0,500.0,3.8729681968688965,7.807710647583008,11.454707145690918,3.4100260734558105,11.817646026611328,6.083970546722412,
0.1,2.0,110.0,1000.0,0.4989118278026581,1.324477195739746,1.73757803440094,0.8734012842178345,1.2919631004333496,0.5631488561630249,
0.1,2.0,110.0,1500.0,0.4758043587207794,0.8091623783111572,1.3202537298202515,0.8549560904502869,1.310408592224121,1.238499641418457,
0.1,3.0,50.0,500.0,11.08728313446045,11.092884063720703,9.833638191223145,4.052438735961914,8.589133262634277,7.710418224334717,
0.1,3.0,50.0,1000.0,5.329011917114258,5.579230785369873,5.883278846740723,3.3142917156219482,6.841987609863281,4.337632656097412,
0.1,3.0,50.0,1500.0,4.225098609924316,2.786672353744507,4.36610221862793,3.1265859603881836,7.808590888977051,2.7996208667755127,
0.1,3.0,70.0,500.0,12.192466735839844,16.460731506347656,17.98946189880371,1.3193354606628418,6.115902423858643,5.569677829742432,
0.1,3.0,70.0,1000.0,9.403963088989258,9.640138626098633,9.169798851013184,2.4649322032928467,7.860975742340088,3.7365059852600098,
0.1,3.0,70.0,1500.0,4.646490573883057,2.9483025074005127,2.888638973236084,1.9655287265777588,2.9371535778045654,1.3292521238327026,
0.1,3.0,90.0,500.0,4.105747699737549,6.287490367889404,4.798929214477539,10.002336502075195,17.874425888061523,10.950092315673828,
0.1,3.0,90.0,1000.0,3.4756805896759033,3.2121713161468506,2.792752504348755,3.4200127124786377,4.779051303863525,4.599214553833008,
0.1,3.0,90.0,1500.0,1.7872672080993652,2.7672815322875977,2.703840732574463,4.096622943878174,3.1917049884796143,4.476597309112549,
0.1,3.0,110.0,500.0,7.545899391174316,21.227684020996094,28.455198287963867,27.26935386657715,46.917728424072266,45.55607223510742,
0.1,3.0,110.0,1000.0,4.0977911949157715,6.214685916900635,7.0929484367370605,10.376015663146973,18.99795150756836,11.479501724243164,
0.1,3.0,110.0,1500.0,0.8643226027488708,3.269078493118286,5.524690628051758,4.53414249420166,3.4198765754699707,3.686073064804077,
0.1,4.0,50.0,500.0,7.8347673416137695,18.245176315307617,22.980165481567383,14.216605186462402,15.893457412719727,12.528959274291992,
0.1,4.0,50.0,1000.0,6.550341606140137,4.974674224853516,6.257277488708496,3.5663089752197266,3.1000754833221436,2.9789528846740723,
0.1,4.0,50.0,1500.0,3.2387192249298096,2.4851138591766357,3.4794862270355225,2.0541226863861084,2.4952890872955322,2.3751442432403564,
0.1,4.0,70.0,500.0,33.93601608276367,12.737476348876953,10.199740409851074,135.6967010498047,159.41015625,89.59339141845703,
0.1,4.0,70.0,1000.0,19.14803695678711,7.077531337738037,5.272830486297607,88.43952941894531,185.86355590820312,74.20764923095703,
0.1,4.0,70.0,1500.0,17.056148529052734,9.217612266540527,8.194207191467285,23.022274017333984,44.09181594848633,19.837223052978516,
0.1,4.0,90.0,500.0,28.361040115356445,15.356691360473633,12.548707008361816,15.036114692687988,23.117355346679688,23.718229293823242,
0.1,4.0,90.0,1000.0,7.253017425537109,10.351003646850586,10.05303955078125,7.1637468338012695,11.980463981628418,14.29414176940918,
0.1,4.0,90.0,1500.0,6.506661415100098,7.846560955047607,7.763556957244873,3.03891921043396,10.83474349975586,13.472835540771484,
0.1,4.0,110.0,500.0,16.145301818847656,39.20411682128906,35.44928741455078,47.697265625,78.03551483154297,80.72373962402344,
0.1,4.0,110.0,1000.0,9.641550064086914,30.059906005859375,30.567968368530273,31.542896270751953,32.88031005859375,45.60837936401367,
0.1,4.0,110.0,1500.0,8.448083877563477,20.70463752746582,24.68722915649414,19.91676139831543,16.030061721801758,15.914694786071777,
0.01,2.0,50.0,500.0,3.272995710372925,4.658456325531006,5.492542743682861,3.1676459312438965,7.212275505065918,2.448319435119629,
0.01,2.0,50.0,1000.0,1.01485013961792,1.348167061805725,2.0137228965759277,0.7145676016807556,3.2423362731933594,1.4978829622268677,
0.01,2.0,50.0,1500.0,0.5559765100479126,0.7678919434547424,1.1293039321899414,0.6102673411369324,1.7369455099105835,0.43611443042755127,
0.01,2.0,70.0,500.0,2.406142234802246,3.413804531097412,3.2369651794433594,1.557497262954712,3.4713711738586426,0.9426436424255371,
0.01,2.0,70.0,1000.0,0.5675680041313171,0.9067102074623108,1.2080196142196655,0.3053639531135559,1.937828779220581,0.4071854054927826,
0.01,2.0,70.0,1500.0,0.28965136408805847,0.334158718585968,0.5278550982475281,0.6839814782142639,1.4818010330200195,0.34645840525627136,
0.01,2.0,90.0,500.0,1.6793826818466187,3.6096885204315186,4.60680627822876,3.7564382553100586,6.4116926193237305,1.3742938041687012,
0.01,2.0,90.0,1000.0,0.6439433097839355,0.9255551099777222,1.53898024559021,1.1752429008483887,3.1306862831115723,1.1060858964920044,
0.01,2.0,90.0,1500.0,0.5073500275611877,0.41042840480804443,0.7194002270698547,0.5639680624008179,2.1780893802642822,0.8597771525382996,
0.01,2.0,110.0,500.0,4.105554103851318,6.38670539855957,6.495022773742676,2.6688904762268066,3.813063621520996,1.3416880369186401,
0.01,2.0,110.0,1000.0,1.1578395366668701,1.7789440155029297,2.308840036392212,1.3320366144180298,3.3203959465026855,0.7392053008079529,
0.01,2.0,110.0,1500.0,0.5355231165885925,0.8994929790496826,1.059330940246582,0.7873559594154358,2.0835299491882324,1.0374425649642944,
0.01,3.0,50.0,500.0,2.0408122539520264,2.4827492237091064,2.751166820526123,1.4811441898345947,3.1678824424743652,1.474523901939392,
0.01,3.0,50.0,1000.0,0.8838580250740051,0.746416449546814,0.7859390377998352,0.6007195711135864,1.9081393480300903,0.5266699194908142,
0.01,3.0,50.0,1500.0,0.614334762096405,0.41163671016693115,0.5951333045959473,0.45640984177589417,1.150908350944519,0.5058997869491577,
0.01,3.0,70.0,500.0,2.7739334106445312,3.014282703399658,2.1395082473754883,2.7523727416992188,5.492941856384277,1.7302864789962769,
0.01,3.0,70.0,1000.0,0.6000593900680542,0.8391520977020264,1.231597661972046,0.4071071147918701,1.7808494567871094,0.497286856174469,
0.01,3.0,70.0,1500.0,1.2377128601074219,1.380104660987854,1.3967618942260742,0.3963432312011719,1.8981125354766846,1.0600063800811768,
0.01,3.0,90.0,500.0,2.361934185028076,2.1659915447235107,2.466794729232788,0.8241458535194397,2.562817335128784,0.8959326148033142,
0.01,3.0,90.0,1000.0,0.6229065656661987,0.668986439704895,0.9509962201118469,0.4315282106399536,1.8125025033950806,0.6909168362617493,
0.01,3.0,90.0,1500.0,3.681575059890747,3.44619083404541,3.8973543643951416,6.664720058441162,12.242484092712402,5.855238437652588,
0.01,3.0,110.0,500.0,1.4879341125488281,2.2714686393737793,3.2296805381774902,2.6848864555358887,5.723992347717285,1.8750157356262207,
0.01,3.0,110.0,1000.0,0.6645510196685791,0.5239853858947754,0.9158487319946289,0.8000031113624573,2.4277162551879883,0.9967523813247681,
0.01,3.0,110.0,1500.0,0.29253268241882324,0.35562652349472046,0.4556961953639984,0.49076247215270996,1.579045295715332,0.5823813676834106,
0.01,4.0,50.0,500.0,1.7946429252624512,2.020768404006958,2.093937873840332,1.5690217018127441,2.451923131942749,0.728887140750885,
0.01,4.0,50.0,1000.0,0.47190365195274353,0.6659441590309143,0.9808303117752075,0.5732182860374451,1.4693934917449951,0.46223121881484985,
0.01,4.0,50.0,1500.0,0.3272267282009125,0.3966432213783264,0.5258947014808655,0.31249839067459106,0.7640690207481384,0.29729336500167847,
0.01,4.0,70.0,500.0,1.1953661441802979,2.4368860721588135,2.4484121799468994,2.5261447429656982,1.8739113807678223,0.7284548878669739,
0.01,4.0,70.0,1000.0,1.1679002046585083,1.3959664106369019,1.9647244215011597,1.511178731918335,6.258036136627197,1.3028929233551025,
0.01,4.0,70.0,1500.0,0.8123447895050049,0.3863876163959503,0.411960244178772,0.5778338313102722,1.004323959350586,0.5942036509513855,
0.01,4.0,90.0,500.0,1.2037720680236816,1.560441255569458,1.485546588897705,0.9579386711120605,2.4712815284729004,0.4282074570655823,
0.01,4.0,90.0,1000.0,1.123479962348938,1.06956148147583,1.3630510568618774,1.3634765148162842,3.368079662322998,1.4901689291000366,
0.01,4.0,90.0,1500.0,2.574723482131958,2.3849220275878906,1.7019927501678467,4.09373664855957,3.0959622859954834,2.6090712547302246,
0.01,4.0,110.0,500.0,1.3322927951812744,1.7952141761779785,2.3769707679748535,1.556681513786316,2.156888961791992,0.549075186252594,
0.01,4.0,110.0,1000.0,0.7944550514221191,0.7900564074516296,1.1707402467727661,0.3079068064689636,1.1386746168136597,0.36254626512527466,
0.01,4.0,110.0,1500.0,0.5155215859413147,0.6177335381507874,0.779479444026947,0.4289373755455017,1.0370252132415771,0.5851500630378723,
0.001,2.0,50.0,500.0,15.40362548828125,23.216697692871094,29.84914779663086,7.026172637939453,9.878748893737793,2.6063761711120605,
0.001,2.0,50.0,1000.0,10.709300994873047,12.642903327941895,13.119339942932129,3.6920700073242188,8.212868690490723,1.6681175231933594,
0.001,2.0,50.0,1500.0,4.225996971130371,5.784357070922852,4.818366527557373,2.3395276069641113,6.0438761711120605,1.5391507148742676,
0.001,2.0,70.0,500.0,16.89101219177246,20.933670043945312,26.430082321166992,7.76072359085083,9.419915199279785,2.849395275115967,
0.001,2.0,70.0,1000.0,10.412238121032715,11.083656311035156,11.286662101745605,5.675731658935547,8.835467338562012,3.1634647846221924,
0.001,2.0,70.0,1500.0,3.6918201446533203,4.889499187469482,5.4363789558410645,2.8535308837890625,5.379536151885986,2.779648780822754,
0.001,2.0,90.0,500.0,12.394843101501465,15.655878067016602,19.893518447875977,7.623620510101318,7.106003284454346,1.9341270923614502,
0.001,2.0,90.0,1000.0,10.187932014465332,11.977433204650879,12.178268432617188,4.633600234985352,4.474353790283203,1.8360514640808105,
0.001,2.0,90.0,1500.0,2.4828288555145264,4.2129740715026855,4.7341132164001465,2.1513845920562744,3.739774703979492,1.5654362440109253,
0.001,2.0,110.0,500.0,11.43519401550293,14.635923385620117,20.135025024414062,5.9096174240112305,7.650543212890625,2.676408290863037,
0.001,2.0,110.0,1000.0,8.225613594055176,10.306400299072266,10.519935607910156,4.431984901428223,4.533411026000977,3.0122406482696533,
0.001,2.0,110.0,1500.0,2.695035219192505,3.7249162197113037,4.757575511932373,0.5179070830345154,2.4871299266815186,1.231238842010498,
0.001,3.0,50.0,500.0,16.506561279296875,13.632033348083496,18.804452896118164,4.01438045501709,4.944735527038574,2.1834194660186768,
