Learning Rate,0.1,0.01,0.001,
Number of units per hidden layer,2,3,4,
Number of hidden layers,50,70,90,110,
Number of iterations,500,1000,1500,
Regularisation,10,
Loss function,isSum,True,
,isAbsolute,False,
,isPercent,False,
,
,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6,
0.1,2.0,50.0,500.0,1.561771035194397,1.0917497873306274,1.6056642532348633,4.237268924713135,2.805534839630127,2.135558843612671,
0.1,2.0,50.0,1000.0,0.6370881795883179,0.5384017825126648,0.7510160803794861,2.0120019912719727,1.3688737154006958,0.8483389616012573,
0.1,2.0,50.0,1500.0,0.6483114957809448,0.7563124895095825,0.7900581955909729,1.9396357536315918,3.9627182483673096,1.4256372451782227,
0.1,2.0,70.0,500.0,1.8875635862350464,1.235030174255371,1.3183255195617676,13.094427108764648,25.806499481201172,7.845649719238281,
0.1,2.0,70.0,1000.0,0.803346574306488,0.5090689659118652,0.520572304725647,1.7238253355026245,1.345562219619751,1.907620906829834,
0.1,2.0,70.0,1500.0,0.5877447128295898,0.577577531337738,0.6994897127151489,1.5020198822021484,1.7343872785568237,1.1283915042877197,
0.1,2.0,90.0,500.0,1.040481448173523,0.5699256062507629,0.7485312223434448,6.4001970291137695,3.882845163345337,2.8702237606048584,
0.1,2.0,90.0,1000.0,1.0404481887817383,0.8938208222389221,0.5059555172920227,2.3670482635498047,5.616356372833252,2.1564085483551025,
0.1,2.0,90.0,1500.0,0.71842360496521,0.41775214672088623,0.49437573552131653,2.7421414852142334,3.7750158309936523,1.6467865705490112,
0.1,2.0,110.0,500.0,0.8793749809265137,0.9343112707138062,1.5336745977401733,4.266887187957764,11.599393844604492,4.458027362823486,
0.1,2.0,110.0,1000.0,0.4745602011680603,0.32835835218429565,0.5696578621864319,1.9292113780975342,8.950514793395996,1.3576951026916504,
0.1,2.0,110.0,1500.0,0.6235883831977844,0.43386998772621155,0.5364035964012146,2.2852158546447754,6.895232200622559,1.9645718336105347,
0.1,3.0,50.0,500.0,2.2207062244415283,1.494231939315796,1.2538669109344482,2.617321252822876,3.7307534217834473,1.842470645904541,
