Learning Rate,0.1,0.01,0.001,
Number of units per hidden layer,2,3,4,
Number of hidden layers,50,70,90,110,
Number of iterations,500,1000,1500,
Regularisation,10,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,False,
,
,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6,
0.1,2.0,50.0,500.0,3.1771771907806396,3.96414852142334,3.2743048667907715,9.98974609375,21.911317825317383,12.186620712280273,
0.1,2.0,50.0,1000.0,2.2985880374908447,2.893476724624634,4.672877311706543,12.501251220703125,42.25745391845703,15.686665534973145,
0.1,2.0,50.0,1500.0,1.2077325582504272,1.0812203884124756,2.341107130050659,4.2124834060668945,9.145971298217773,5.4950056076049805,
0.1,2.0,70.0,500.0,2.8007848262786865,3.4624152183532715,2.3634514808654785,10.310394287109375,13.330657958984375,4.565500259399414,
0.1,2.0,70.0,1000.0,1.172548532485962,1.9108011722564697,1.9833905696868896,3.918808698654175,10.561976432800293,2.34201717376709,
0.1,2.0,70.0,1500.0,2.3026599884033203,2.1265411376953125,2.829322576522827,5.644781589508057,24.05518913269043,7.016702175140381,
0.1,2.0,90.0,500.0,4.441110610961914,5.155084133148193,5.879665374755859,37.725154876708984,136.7519989013672,12.103679656982422,
0.1,2.0,90.0,1000.0,2.4092509746551514,2.9701476097106934,1.5076643228530884,14.20405387878418,42.91082763671875,8.233903884887695,
0.1,2.0,90.0,1500.0,3.167510747909546,2.8187999725341797,4.195123672485352,10.183436393737793,23.52727699279785,6.861340045928955,
0.1,2.0,110.0,500.0,6.364529609680176,4.228611469268799,3.584036350250244,11.582924842834473,42.39754867553711,11.574631690979004,
0.1,2.0,110.0,1000.0,2.1805450916290283,2.4131481647491455,1.681291103363037,4.070150375366211,5.5853271484375,4.961030006408691,
0.1,2.0,110.0,1500.0,11.884730339050293,12.12353515625,12.174468994140625,43.72721862792969,106.4382095336914,21.43692398071289,
0.1,3.0,50.0,500.0,7.99239444732666,10.59941291809082,7.423091888427734,69.54962921142578,124.75821685791016,30.049367904663086,
0.1,3.0,50.0,1000.0,6.870136260986328,6.571920394897461,5.398492336273193,26.258691787719727,49.27738571166992,15.197343826293945,
0.1,3.0,50.0,1500.0,4.2968292236328125,2.528398036956787,3.167942523956299,31.224367141723633,27.092403411865234,13.152904510498047,
0.1,3.0,70.0,500.0,7.413299560546875,7.148409843444824,4.914452075958252,52.983909606933594,64.14514923095703,10.292604446411133,
0.1,3.0,70.0,1000.0,6.244325160980225,4.507098197937012,3.566596746444702,16.549291610717773,22.737226486206055,5.493861198425293,
0.1,3.0,70.0,1500.0,4.696364879608154,3.008261203765869,1.9664791822433472,9.0404052734375,26.081520080566406,6.935662269592285,
0.1,3.0,90.0,500.0,12.043781280517578,9.054638862609863,10.32674503326416,27.508712768554688,62.402217864990234,15.089284896850586,
0.1,3.0,90.0,1000.0,5.3720550537109375,3.871832847595215,5.848803997039795,18.452621459960938,28.24648666381836,5.4348649978637695,
0.1,3.0,90.0,1500.0,3.210662364959717,2.4201254844665527,3.7903025150299072,8.39570426940918,29.21302032470703,4.744231700897217,
0.1,3.0,110.0,500.0,16.84524917602539,11.388691902160645,10.397712707519531,56.56593322753906,136.5863800048828,31.644386291503906,
0.1,3.0,110.0,1000.0,9.552980422973633,7.752026081085205,4.926847457885742,35.048606872558594,82.28948974609375,19.63384437561035,
