,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,2.444200038909912,0.4795199930667877,4.346199989318848,8.604100227355957,13.402999877929688,0.5996699929237366,0.5477499961853027,0.7262899875640869,
Prediction,2.444200038909912,0.4795199930667877,4.364222526550293,8.600936889648438,13.375110626220703,0.5987983345985413,0.5465961694717407,0.725598931312561,
Per Dev,2.444200038909912,0.4795199930667877,0.41467341780662537,0.03676546737551689,0.2080821692943573,0.14535632729530334,0.21064843237400055,0.09514880180358887,
,
Actual,2.444200038909912,0.37630000710487366,3.8266000747680664,7.126800060272217,10.866999626159668,0.523930013179779,0.45824000239372253,0.6681900024414062,
Prediction,2.444200038909912,0.37630000710487366,3.8502721786499023,7.15030574798584,10.901189804077148,0.5237423181533813,0.4584178328514099,0.6677685976028442,
Per Dev,2.444200038909912,0.37630000710487366,0.6186197400093079,0.32982107996940613,0.3146239221096039,0.03582444787025452,0.03880727291107178,0.06306662410497665,
,
Actual,2.444200038909912,0.29416000843048096,3.552999973297119,6.275700092315674,9.370599746704102,0.46597999334335327,0.38745999336242676,0.6207500100135803,
Prediction,2.444200038909912,0.29416000843048096,3.593520164489746,6.320812702178955,9.421138763427734,0.46697795391082764,0.3880974054336548,0.6214278936386108,
Per Dev,2.444200038909912,0.29416000843048096,1.140450119972229,0.7188458442687988,0.5393359661102295,0.21416382491588593,0.16451042890548706,0.10920396447181702,
,
Actual,2.444200038909912,0.16874000430107117,3.308000087738037,5.362100124359131,7.6631999015808105,0.3862699866294861,0.2820799946784973,0.54680997133255,
Prediction,2.444200038909912,0.16874000430107117,3.392784833908081,5.4420695304870605,7.742356777191162,0.39088699221611023,0.2858608067035675,0.5503615140914917,
Per Dev,2.444200038909912,0.16874000430107117,2.563021421432495,1.491382122039795,1.0329480171203613,1.1952793598175049,1.3403332233428955,0.649502158164978,
,
Actual,2.444200038909912,0.3948099911212921,3.90339994430542,7.353300094604492,11.258999824523926,0.5373200178146362,0.47426000237464905,0.6787400245666504,
Prediction,2.444200038909912,0.3948099911212921,3.9264864921569824,7.371184825897217,11.282060623168945,0.5368030667304993,0.47417107224464417,0.6784052848815918,
Per Dev,2.444200038909912,0.3948099911212921,0.5914471745491028,0.2432204782962799,0.20482102036476135,0.09620916098356247,0.018751345574855804,0.04931780323386192,
,
Actual,2.444200038909912,0.21493999660015106,3.376699924468994,5.649799823760986,8.224300384521484,0.4137499928474426,0.32019999623298645,0.5741000175476074,
Prediction,2.444200038909912,0.21493999660015106,3.4411611557006836,5.700741767883301,8.278229713439941,0.4154898226261139,0.32249799370765686,0.5761197209358215,
Per Dev,2.444200038909912,0.21493999660015106,1.9090007543563843,0.9016593098640442,0.6557314991950989,0.4205026626586914,0.7176756858825684,0.35180339217185974,
,
Actual,2.444200038909912,0.31876999139785767,3.6243999004364014,6.506800174713135,9.781299591064453,0.4830299913883209,0.4085899889469147,0.6350700259208679,
Prediction,2.444200038909912,0.31876999139785767,3.663832902908325,6.555788993835449,9.841779708862305,0.4842229187488556,0.40933743119239807,0.6355809569358826,
Per Dev,2.444200038909912,0.31876999139785767,1.0879870653152466,0.7528864741325378,0.6183239817619324,0.24696755409240723,0.18293210864067078,0.08045270293951035,
,
Actual,2.444200038909912,0.4974299967288971,4.4629998207092285,8.92389965057373,13.946999549865723,0.6130300164222717,0.5633000135421753,0.7362099885940552,
Prediction,2.444200038909912,0.4974299967288971,4.481406211853027,8.917064666748047,13.911748886108398,0.6120144128799438,0.5621950030326843,0.7355841994285583,
Per Dev,2.444200038909912,0.4974299967288971,0.41242194175720215,0.07659189403057098,0.2527472972869873,0.16566947102546692,0.19616732001304626,0.08500145375728607,
,
Actual,2.444200038909912,0.4723699986934662,4.30210018157959,8.482500076293945,13.196000099182129,0.5943499803543091,0.5415300130844116,0.722320020198822,
Prediction,2.444200038909912,0.4723699986934662,4.320556640625,8.48357105255127,13.175790786743164,0.5935606956481934,0.5405301451683044,0.7216379642486572,
Per Dev,2.444200038909912,0.4723699986934662,0.42901045083999634,0.012625714763998985,0.15314725041389465,0.132797971367836,0.18463757634162903,0.094425730407238,
,
Actual,2.444200038909912,0.5035300254821777,4.505000114440918,9.038200378417969,14.142000198364258,0.6175900101661682,0.5686100125312805,0.739579975605011,
Prediction,2.444200038909912,0.5035300254821777,4.5239081382751465,9.034430503845215,14.112276077270508,0.6166108250617981,0.5676241517066956,0.7389716506004333,
Per Dev,2.444200038909912,0.5035300254821777,0.4197119176387787,0.04171045497059822,0.2101832926273346,0.15854938328266144,0.17338083684444427,0.08225277066230774,
,
Actual,2.444200038909912,0.5259600281715393,4.670000076293945,9.484199523925781,14.89900016784668,0.6344199776649475,0.588100016117096,0.7519199848175049,
Prediction,2.444200038909912,0.5259600281715393,4.686797142028809,9.483882904052734,14.878911972045898,0.6333271265029907,0.5873867869377136,0.7513930201530457,
Per Dev,2.444200038909912,0.5259600281715393,0.3596802055835724,0.0033383930567651987,0.13482914865016937,0.17225989699363708,0.1212768480181694,0.07008254528045654,
,
Actual,2.444200038909912,0.4570100009441376,4.212100028991699,8.232600212097168,12.769000053405762,0.5829600095748901,0.5281999707221985,0.7137600183486938,
Prediction,2.444200038909912,0.4570100009441376,4.230229377746582,8.234146118164062,12.75246810913086,0.5820013880729675,0.5273047089576721,0.7131394147872925,
Per Dev,2.444200038909912,0.4570100009441376,0.430411159992218,0.018777860328555107,0.1294693648815155,0.1644403487443924,0.1694929599761963,0.08694849163293839,
,
Actual,2.444200038909912,0.002757699927315116,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47824999690055847,
Prediction,2.444200038909912,0.002757699927315116,3.5621862411499023,5.302285671234131,6.992043495178223,0.36453449726104736,0.21784794330596924,0.5018340349197388,
Per Dev,2.444200038909912,0.002757699927315116,10.270745277404785,8.234208106994629,7.351896286010742,8.292583465576172,14.00279426574707,4.931319713592529,
,
Actual,2.444200038909912,0.0037245999556034803,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47826001048088074,
