,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,8.703100204467773,0.489329993724823,7.268400192260742,10.89799976348877,15.27400016784668,0.6458399891853333,0.5746099948883057,0.7500799894332886,
Prediction,8.703100204467773,0.489329993724823,7.268054962158203,10.899110794067383,15.277606964111328,0.6459099650382996,0.5746630430221558,0.750062108039856,
Per Dev,8.703100204467773,0.489329993724823,0.00474974000826478,0.010194811969995499,0.023613959550857544,0.010834858752787113,0.009232023730874062,0.002383931539952755,
,
Actual,8.703100204467773,0.39868998527526855,7.013400077819824,9.800999641418457,13.175000190734863,0.599839985370636,0.5065900087356567,0.7094600200653076,
Prediction,8.703100204467773,0.39868998527526855,7.012811660766602,9.801101684570312,13.174360275268555,0.5998037457466125,0.5065023899078369,0.7094250321388245,
Per Dev,8.703100204467773,0.39868998527526855,0.008389897644519806,0.0010411504190415144,0.004857043270021677,0.006041548680514097,0.017295807600021362,0.00493162777274847,
,
Actual,8.703100204467773,0.32655999064445496,6.923099994659424,9.262499809265137,12.01200008392334,0.5714899897575378,0.4570299983024597,0.6800199747085571,
Prediction,8.703100204467773,0.32655999064445496,6.925059795379639,9.26148796081543,12.010122299194336,0.5713760852813721,0.45700833201408386,0.6799822449684143,
Per Dev,8.703100204467773,0.32655999064445496,0.028308138251304626,0.010924139991402626,0.015632573515176773,0.019931141287088394,0.0047406707890331745,0.005548328161239624,
,
Actual,8.703100204467773,0.2164199948310852,6.8846001625061035,8.88010025024414,10.925000190734863,0.548039972782135,0.3980900049209595,0.6456400156021118,
Prediction,8.703100204467773,0.2164199948310852,6.884927272796631,8.880603790283203,10.925211906433105,0.548041582107544,0.39809590578079224,0.645618200302124,
Per Dev,8.703100204467773,0.2164199948310852,0.00475133303552866,0.00567043200135231,0.001937901135534048,0.0002936511009465903,0.0014822928933426738,0.0033788641449064016,
,
Actual,8.703100204467773,0.4149399995803833,7.045499801635742,9.95989990234375,13.493000030517578,0.6073600053787231,0.5184199810028076,0.7165200114250183,
Prediction,8.703100204467773,0.4149399995803833,7.046196460723877,9.959409713745117,13.490370750427246,0.6073461771011353,0.5184093713760376,0.7165670394897461,
Per Dev,8.703100204467773,0.4149399995803833,0.009888000786304474,0.004921621643006802,0.01948625221848488,0.002276784274727106,0.002046531066298485,0.0065633985213935375,
,
Actual,8.703100204467773,0.256989985704422,6.890699863433838,8.967599868774414,11.232000350952148,0.5536999702453613,0.41639000177383423,0.6561899781227112,
Prediction,8.703100204467773,0.256989985704422,6.889077186584473,8.967382431030273,11.232545852661133,0.5537707209587097,0.41636040806770325,0.6561673283576965,
Per Dev,8.703100204467773,0.256989985704422,0.0235487949103117,0.002424703910946846,0.004856674931943417,0.01277780719101429,0.0071072084829211235,0.003451708471402526,
,
Actual,8.703100204467773,0.3481700122356415,6.942599773406982,9.397000312805176,12.319999694824219,0.5790299773216248,0.4712800085544586,0.6884499788284302,
Prediction,8.703100204467773,0.3481700122356415,6.942657470703125,9.397695541381836,12.321322441101074,0.5791109800338745,0.47132328152656555,0.6884487271308899,
Per Dev,8.703100204467773,0.3481700122356415,0.000831061799544841,0.007398409768939018,0.010736577212810516,0.013989381492137909,0.009182008914649487,0.00018181386985816061,
,
Actual,8.703100204467773,0.505050003528595,7.335100173950195,11.14799976348877,15.729999542236328,0.654699981212616,0.5868300199508667,0.7573800086975098,
Prediction,8.703100204467773,0.505050003528595,7.335222244262695,11.147077560424805,15.73078441619873,0.6547418832778931,0.5868733525276184,0.7573544979095459,
Per Dev,8.703100204467773,0.505050003528595,0.001664194162003696,0.008272363804280758,0.004989663138985634,0.006400193553417921,0.007384178694337606,0.003368294332176447,
,
Actual,8.703100204467773,0.48304998874664307,7.24399995803833,10.803999900817871,15.100000381469727,0.6423699855804443,0.5697500109672546,0.747189998626709,
Prediction,8.703100204467773,0.48304998874664307,7.243729591369629,10.801538467407227,15.09720516204834,0.6423730850219727,0.5697641372680664,0.7471418380737305,
Per Dev,8.703100204467773,0.48304998874664307,0.0037322842981666327,0.022782612591981888,0.018511386588215828,0.00048250099644064903,0.002479385817423463,0.006445556413382292,
,
Actual,8.703100204467773,0.5104100108146667,7.3597002029418945,11.237000465393066,15.892999649047852,0.6577600240707397,0.5910199880599976,0.759880006313324,
Prediction,8.703100204467773,0.5104100108146667,7.359040260314941,11.236812591552734,15.893656730651855,0.6578015685081482,0.5910549163818359,0.759868323802948,
Per Dev,8.703100204467773,0.5104100108146667,0.008966976776719093,0.0016719215782359242,0.004134409129619598,0.006316047627478838,0.005909837782382965,0.00153741508256644,
,
Actual,8.703100204467773,0.5301100015640259,7.458899974822998,11.59000015258789,16.527999877929688,0.6692299842834473,0.6065000295639038,0.7691199779510498,
Prediction,8.703100204467773,0.5301100015640259,7.459611892700195,11.589153289794922,16.527421951293945,0.6691896915435791,0.606509804725647,0.7691409587860107,
Per Dev,8.703100204467773,0.5301100015640259,0.00954454205930233,0.007306840270757675,0.003496652003377676,0.00602076156064868,0.0016117329942062497,0.0027279015630483627,
,
Actual,8.703100204467773,0.46955999732017517,7.195300102233887,10.612000465393066,14.743000030517578,0.6350399851799011,0.5593900084495544,0.7409999966621399,
Prediction,8.703100204467773,0.46955999732017517,7.196780204772949,10.612340927124023,14.74439525604248,0.635115921497345,0.5594215393066406,0.7409697771072388,
Per Dev,8.703100204467773,0.46955999732017517,0.020570406690239906,0.0032082709949463606,0.00946364738047123,0.011957721784710884,0.005636650137603283,0.004078212659806013,
,
Actual,8.703100204467773,0.07066500186920166,6.8821001052856445,8.82229995727539,10.60200023651123,0.5442000031471252,0.37707000970840454,0.6336899995803833,
Prediction,8.703100204467773,0.07066500186920166,6.882134437561035,8.823686599731445,10.602092742919922,0.5442707538604736,0.37713322043418884,0.6337687373161316,
Per Dev,8.703100204467773,0.07066500186920166,0.0004988633445464075,0.01571747101843357,0.0008725373190827668,0.01300086546689272,0.016763657331466675,0.012425276450812817,
,
Actual,8.703100204467773,0.07151400297880173,6.8821001052856445,8.82229995727539,10.60200023651123,0.5442000031471252,0.37707000970840454,0.6336899995803833,
Prediction,8.703100204467773,0.07151400297880173,6.882087707519531,8.82358169555664,10.602056503295898,0.5442647933959961,0.3771321177482605,0.6337674856185913,
Per Dev,8.703100204467773,0.07151400297880173,0.0001801450998755172,0.014528391882777214,0.0005307185929268599,0.011905594728887081,0.016471222043037415,0.012227751314640045,
,
Actual,8.703100204467773,0.11286000162363052,6.8821001052856445,8.822999954223633,10.611000061035156,0.5442399978637695,0.3776800036430359,0.6340399980545044,
Prediction,8.703100204467773,0.11286000162363052,6.882364273071289,8.823022842407227,10.612154960632324,0.5442096590995789,0.3777116537094116,0.6340423822402954,
Per Dev,8.703100204467773,0.11286000162363052,0.0038384762592613697,0.0002594149555079639,0.01088398415595293,0.005574519280344248,0.00838012807071209,0.0003760308027267456,
,
